,Language,Created By,Average Annual Salary,Learning Difficulty
0,Python,Guido van Rossum,"$114,383",Easy
1,Java,James Gosling,"$101,013",Easy
2,R,"Robert Gentleman, Ross Ihaka","$92,037",Hard
3,Javascript,Netscape,"$110,981",Easy
4,Swift,Apple,"$130,801",Easy
5,C++,Bjarne Stroustrup,"$113,865",Hard
6,C#,Microsoft,"$88,726",Hard
7,PHP,Rasmus Lerdorf,"$84,727",Easy
8,SQL,"Donald D. Chamberlin, Raymond F. Boyce.","$84,793",Easy
9,Go,"Robert Griesemer, Ken Thompson, Rob Pike.","$94,082",Difficult
